scientific_name,park_name,observations,category,common_names,conservation_status,missing_conservation_status,status_nb,common_names_length,last_common_name
Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),Not Threatened,True,0,23,Lion)
Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Not Threatened,True,0,71,Globemallow
Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,Not Threatened,True,0,19,Sucker
Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",Not Threatened,True,0,35,Cryptantha
Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",Not Threatened,True,0,43,Cliff-Brake
Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,Not Threatened,True,0,8,Sycamore
Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",Not Threatened,True,0,42,Footprint
Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Not Threatened,True,0,53,Lewisia
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",Not Threatened,True,0,37,Sandwort
Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,Not Threatened,True,0,14,Bindweed
Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",Not Threatened,True,0,34,Sedge
Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,Not Threatened,True,0,11,Birch
Quercus,Bryce National Park,59,Vascular Plant,Oak,Not Threatened,True,0,3,Oak
Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",Not Threatened,True,0,22,Spiraea
Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",Not Threatened,True,0,32,Broomsedge
Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,Not Threatened,True,0,14,Moss
Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,Not Threatened,True,0,15,Beaksedge
Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern,False,2,13,Hawk
Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,Not Threatened,True,0,19,Salamander
Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",Not Threatened,True,0,31,Nut-Rush
Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,Not Threatened,True,0,26,Moss
Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",Not Threatened,True,0,34,Rhododendron
Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,Not Threatened,True,0,14,Mulberry
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",Not Threatened,True,0,32,Elderberry
Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,Not Threatened,True,0,18,Threadplant
Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,Not Threatened,True,0,8,Sphagnum
Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,Not Threatened,True,0,18,Blackbird
Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",Not Threatened,True,0,88,Spikesedge
Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,Not Threatened,True,0,19,Rattlebox
Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,Not Threatened,True,0,8,Burnweed
Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",Not Threatened,True,0,35,Figwort
Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,Not Threatened,True,0,18,Violet
Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,Not Threatened,True,0,11,Barley
Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,Not Threatened,True,0,16,Longspur
Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,Not Threatened,True,0,17,Agrostis
Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,Not Threatened,True,0,8,Ovenbird
Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,Not Threatened,True,0,15,Turtlehead
Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,Not Threatened,True,0,11,Squashberry
Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",Not Threatened,True,0,45,Orchid
Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,Not Threatened,True,0,18,Frog
Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Not Threatened,True,0,38,Woodoats
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern,False,2,21,Grass
Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Not Threatened,True,0,45,Sweetcicely
Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",Not Threatened,True,0,35,Stickseed
Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,Not Threatened,True,0,18,Bluegrass
Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",Not Threatened,True,0,31,Indigo-Bush
Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",Not Threatened,True,0,27,Chamomile
Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,Not Threatened,True,0,11,Dock
Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Not Threatened,True,0,52,Fairyfan
Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,Not Threatened,True,0,17,Barberry
Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,Not Threatened,True,0,20,Bluegrass
Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,Not Threatened,True,0,22,Sparrow
Pinus,Bryce National Park,94,Vascular Plant,Pine,Not Threatened,True,0,4,Pine
Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Not Threatened,True,0,59,Widdy
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,Not Threatened,True,0,21,Woodpecker
Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,Not Threatened,True,0,16,Crabgrass
Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",Not Threatened,True,0,28,Cat's-Ear
Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",Not Threatened,True,0,49,Scorpion-Weed
Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,Not Threatened,True,0,23,Moss
Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",Not Threatened,True,0,33,Pine
Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",Not Threatened,True,0,35,Meadow-Rue
Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,Not Threatened,True,0,8,Twinleaf
Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,Not Threatened,True,0,9,Feverwort
Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,Not Threatened,True,0,15,Huckleberry
Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,Not Threatened,True,0,18,Moss
Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,Not Threatened,True,0,14,Phlox
Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",Not Threatened,True,0,55,Cryptantha
Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",Not Threatened,True,0,43,Grass
Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,Not Threatened,True,0,16,Mandarin
Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",Not Threatened,True,0,30,Dodder
Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,Not Threatened,True,0,13,Willow
Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,Not Threatened,True,0,13,Tickseed
Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,Not Threatened,True,0,22,Warbler
Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",Not Threatened,True,0,40,Crabapple
Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,Not Threatened,True,0,13,Jay
Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,Not Threatened,True,0,11,Scentbottle
Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,Not Threatened,True,0,15,Lipfern
Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",Not Threatened,True,0,30,Sedge
Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",Not Threatened,True,0,37,Mermaid-Weed
Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,Not Threatened,True,0,9,Rush
Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",Not Threatened,True,0,34,Thelypody
Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,Not Threatened,True,0,12,Campion
Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,Not Threatened,True,0,18,Goldfinch
Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Not Threatened,True,0,59,Hemlock
Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",Not Threatened,True,0,32,Bunchflower
Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",Not Threatened,True,0,37,Bush-Clover
Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,Not Threatened,True,0,19,Rush
Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",Not Threatened,True,0,45,Sweetroot
Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,Not Threatened,True,0,10,Canteloupe
Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,Not Threatened,True,0,18,Violet
Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,Not Threatened,True,0,13,Trout
Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",Not Threatened,True,0,23,Carpet-Bugel
Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",Not Threatened,True,0,34,Buttercup
Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",Not Threatened,True,0,39,Dandelion
Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",Not Threatened,True,0,53,Oxytrope
Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,Not Threatened,True,0,22,Grass
Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",Not Threatened,True,0,36,Orchid
Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,Not Threatened,True,0,19,Shootingstar
Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Not Threatened,True,0,48,Dock
Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,Not Threatened,True,0,15,Flatsedge
Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,Not Threatened,True,0,18,Crabapple
Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,Not Threatened,True,0,6,Catnip
Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,Not Threatened,True,0,10,Devil
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,Not Threatened,True,0,17,Grass
Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,Not Threatened,True,0,11,Stick-Tight
Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",Not Threatened,True,0,19,Rye
Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species of Concern,False,2,15,Ragwort
Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,Not Threatened,True,0,3,Iva
Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,Not Threatened,True,0,16,Brome
Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",Not Threatened,True,0,35,Pimpernell
Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,Not Threatened,True,0,22,Aster
Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",Not Threatened,True,0,49,Golden-Aster
Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",Not Threatened,True,0,27,Magpie
Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",Not Threatened,True,0,23,Nanny-Berry
Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,Not Threatened,True,0,21,Saxifrage
Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",Not Threatened,True,0,69,Helianthella
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,Not Threatened,True,0,12,Fern
Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,Not Threatened,True,0,17,Starling
Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,Not Threatened,True,0,13,Sedge
Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,Not Threatened,True,0,19,Cliffbrake
Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,Not Threatened,True,0,18,Bluets
Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",Not Threatened,True,0,27,Weasel
Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",Not Threatened,True,0,26,Pine-Sap
Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species of Concern,False,2,6,Osprey
Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",Not Threatened,True,0,24,Nandina
Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,Not Threatened,True,0,9,Duck
Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern,False,2,59,Wildiris
Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,Not Threatened,True,0,8,Wireweed
Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,Not Threatened,True,0,20,Hop-Clover
Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,Not Threatened,True,0,16,Goldenbush
Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",Not Threatened,True,0,29,Rush
Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",Not Threatened,True,0,28,Sedge
Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,Not Threatened,True,0,14,Sedge
Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,Not Threatened,True,0,19,Rattlesnake
Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Not Threatened,True,0,46,Beardtongue
